001:001-004	hak untuk allah, segala pujian hanya untuk allah yang memiliki kekuasaan yang sifat kemahaagungan
002:106-108	menasakhkan suatu ayat adalah urusan allah karena allah maha mengetahui segala sesuatu.
002:109-113	keinginan ahli kitab (yahudi dan nasrani) untuk mengembalikan orang beriman kepada kekafiran karena kedengkian mereka.
002:114-118	tindakan-tindakan yang menghalangi peribadatan dan orang-orang yang pantas masuk ke dalam masjid allah.
002:119-123	diutusnya muhammad dengan membawa kebenaran dan larangan mengikuti yahudi dan nasrani.
002:124-129	ujian dari allah kepada nabi ibrahim dan doa-doanya untuk dirinya dan anak-anak cucunya.
002:130-141	agama ibrahim adalah agama yang lurus dan telah diwasiatkan kepada anak cucunya, jangan sampai mati kecuali memeluk islam.
002:142-152	pemindahan kiblat dari baitul maqdis ke kabah (masjidil haram) dan beberapa hikmah yang dapat diambil darinya.
002:153-157	cobaan berat untuk menegakkan kebenaran dan kemuliaan orang-orang yang gugur di jalan allah.
002:158-158	manasik haji, berumrah, dan tempat-tempat syiar haji untuk taat kepada allah.
002:159-162	laknat terhadap orang-orang yang menyembunyikan ayat-ayat allah dan terhadap orang-orang kafir.
002:163-171	tanda-tanda keesaan dan kekuasaan allah pada alam dan larangan mengikuti langkah-langkah setan.
002:172-176	makanan yang dihalalkan dan yang diharamkan serta larangan menyembunyikan dan menjual ayat-ayat allah.
002:177-179	pokok-pokok kebaktian orang beriman serta perintah tentang pelaksanaan hukum qisas dan hikmahnya bagi manusia.
002:180-182	perintah berwasiat jika kedatangan tanda maut dan ancaman bagi yang mengubah wasiat tersebut.
002:183-187	perintah berpuasa bagi orang yang beriman, kewajiban bah meninggalkan, serta larangan pada waktu berpuasa.
002:188-189	larangan memakan harta dengan cara yang batil dan tata krama memasuki rumah orang lain dari pintu semestinya.
002:190-195	berjihad dengan harta dan jiwa di jalan allah dengan tidak melampaui batas dan dengan memerhatikan peraturan lainnya.
002:196-203	perintah untuk menyempurnakan ibadah haji dan tata cara jika sakit atau tidak aman, serta larangan dan perintah saat haji.
002:204-206	ucapan orang munafik menarik hati dan perbuatannya mengadakan kerusakan di muka bumi dalam berbagai bentuk.
002:207-210	perintah untuk masuk islam secara keseluruhan aspek kehidupan dan berhati-hati dengan langkah-langkah setan.
002:211-214	hikmah diutusnya para rasul adalah hidayah allah kepada hambanya dan berbagai cobaan bagi para pengikut rasul.
002:215-218	orang-orang yang pantas diberi nafkah dan hukum berperang dalam islam dengan tata tertib yang harus ditaati.
002:219-220	perihal khamar dan berjudi, harta yang dinafkahkan, dan pemeliharaan terhadap anak-anak yatim.
002:221-237	pokok-pokok hukum perkawinan, perceraian, haid, sumpah, menyusui anak, dan permasalahan bersuami istri, berumah tangga.
002:238-239	kewajiban mengerjakan salat dengan khusyuk meskipun dalam keadaan takut atau tidak aman.
002:240-242	wasiat kepada istri jika akan meninggal dunia dan pemberian mutah bagi istri yang ditalak atau cerai.
002:243-257	kewajiban berjihad dan mengeluarkan harta di jalan allah, dan kisah perang antara tentara thalut dan tentara jalut.
002:258-260	namrud mendebat ibrahim tentang kekuasaan allah dan bukti kekuasaan allah menghidupkan orang yang telah meninggal 100 tahun.
002:261-274	menafkahkan harta di jalan allah dengan cara yang baik dan menafkahkan harta dengan cara yang tidak baik.
002:275-281	allah mengharamkan riba dan menyuburkan sedekah dalam utang piutang atau dengan memberi tangguh sampai berkelapangan.
002:282-283	perlunya menuliskan atau adanya kesaksian dalam bermuamalah secara tidak tunai atau adanya barang tanggungan.
002:284-286	pujian allah terhadap orang-orang mukmin dan doa permohonan mereka kepada allah.
003:001-007	al-quran adalah kitab suci yang membenarkan kitab-kitab sebelumnya yang berisi ayat-ayat muhkamat dan mutasyabihat.
003:008-009	doa atau permohonan agar dijauhkan dari kecenderungan hati terhadap kesesatan setelah diberi petunjuk allah.
003:010-014	ancaman allah kepada orang-orang kafir yang cenderung kepada keduniaan yang dijadikan indah oleh allah.
003:015-017	balasan bagi orang-orang yang sabar, benar, taat, yang menafkahkan harta di jalan allah dan yang beristigfar.
003:018-020	pernyataan allah tentang keesaan dan keadilannya; serta satu-satu din / agama yang diridainya.
003:021-025	pembalasan terhadap orang kafir, orang yang membunuh nabi-nabi, dan orang yahudi yang berpaling dari hukum allah.
003:026-027	bukti-bukti kekuasaan dan kebenaran firman allah dapat disaksikan pada berbagai peristiwa alam.
003:028-032	larangan terhadap orang mukmin untuk berwali kepada orang kafir dan perintah untuk mencintai allah dan rasulnya.
003:033-044	kisah keluarga (istri) imran yang menazarkan bayi yang dikandungnya untuk berkhidmat kepada allah, yaitu maryam.
003:045-063	kisah al-masih isa putra maryam dengan berbagai mukjizat dari allah sebagai bukti kerasulannya.
003:064-068	ajakan kepada para ahli kitab untuk berpegang teguh kepada agama tauhid. <quote>millah ibrahim<quote>.
003:069-078	sikap para ahli kitab terhadap islam, terhadap ayat-ayat allah, dan terhadap orang-orang beriman.
003:079-092	para nabi tidak mungkin menyuruh manusia untuk menyembah dirinya dan janji para nabi kepada allah tentang kenabian muhammad.
003:093-095	bantahan terhadap orang-orang yahudi berkenaan dengan dihalalkan atau diharamkannya makanan untuk mereka.
003:096-099	bantahan terhadap pengakuan orang-orang yahudi berkenaan dengan rumah ibadah yang pertama.
003:100-109	keharusan berhati-hati terhadap sikap para ahli kitab, menjaga iman dan persatuan serta amar maruf dan nahi mungkar.
003:110-115	kelebihan umat islam daripada umat yang lain. antara lain sebagai umat penegak hak, beramar maruf dan nahi mungkar.
003:116-120	perumpamaan harta yang dinafkahkan orang kafir dan larangan mengambil orang yahudi sebagai wali atau teman kepercayaan.
003:121-129	kisah perang badar, bahwa sabar dan tawakal kepada allah merupakan penggal kemenangan.
003:130-148	larangan melakukan riba, perintah untuk taat kepada allah dan rasulnya, serta ciri-ciri orang yang bertakwa.
003:149-155	peringatan supaya waspada terhadap ajakan orang-orang kafir dan sebab-sebab kekalahan umat islam dalam perang uhud.
003:156-158	perintah menanamkan jiwa berkorban dan semangat juang arang tinggi dalam berjihad di jalan allah.
003:159-164	akhlak, budi pekerti, dan sifat-sifat nabi muhammad saw serta karunia allah kepada orang beriman.
003:165-175	kekalahan perang dan beberapa sifat orang munafik serta pahala orang yang mati syahid.
003:176-179	ayat-ayat untuk menenteramkan hati nabi muhammad saw karena sikap orang-orang yang segera menjadi kafir.
003:180-189	kebakhilan terhadap harta, kedustaan terhadap rasul, menyembunyikan atau menukar ayat-ayat allah, serta balasannya.
003:190-195	faedah selalu ingat kepada allah dalam berbagai keadaan dan merenungkan ciptaan-ciptaannya.
003:196-200	kesenangan sementara bagi orang-orang kafir dan kebahagiaan abadi bagi orang-orang mukmin.
004:001-006	kewajiban para washi terhadap asuhannya dan kewajiban wali terhadap orang yang di bawah perwaliannya.
004:007-014	pokok-pokok hukum warisan dalam islam dengan suatu syariat yang telah ditentukan oleh yang maha mengetahui.
004:015-018	dasar-dasar untuk menetapkan perbuatan-perbuatan keji dan hukumannya bagi mereka serta diterimanya taubat seseorang.
004:019-028	cara menggauli istri dan hukum perkawinan (wanita yang halal dan yang haram untuk dinikahi).
004:029-033	perlindungan hak milik laki-laki dan perempuan menurut islam serat pewaris-pewarisnya.
004:034-035	beberapa peraturan hidup bersuami istri dan cara-cara yang baik untuk menghadapi permasalahan keluarga.
004:036-042	beberapa kewajiban manusia terhadap allah dan terhadap sesama manusia serta balasannya yang berlipat ganda.
004:043-057	kesucian lahir batin dalam salat, orang-orang yang tidak suci lahir batinnya, serta ancaman allah terhadap mereka.
004:058-070	dasar-dasar pemerintahan dengan taat kepada hukum allah dan rasulnya serta ulil amri orang-orang yang beriman.
004:071-076	keharusan bersiap siaga terhadap musuh dengan tipu dayanya serta menghadapinya secara kompak.
004:077-083	sikap-sikap orang munafik enggan menghadapi peperangan padahal kematian pasti datang walau dalam benteng yang kokoh.
004:084-091	mengobarkan semangat juang para mukmin dan cara-cara menghadapi orang-orang munafik dalam peperangan.
004:092-094	hukuman membunuh mukmin yang bersalah, balasan membunuh orang mukmin dengan sengaja, dan perlunya sifat teliti dalam perang.
004:095-096	perbedaan antara orang yang berjihad dan tidak berjihad karena uzur.
004:097-100	kewajiban berhijrah di jalan allah, balasan bagi yang mati teraniaya, dan pahala bagi yang berhijrah.
004:101-104	kewajiban mengerjakan salat dalam keadaan bagaimanapun, juga cara mengerjakannya dalam keadaan perang yang menakutkan.
004:105-115	keharusan adil dan tidak memihak dalam menetapkan hukum serta akibat dari perbuatan-perbuatan dosa.
004:116-122	dosa syirik tidak akan diampuni allah dan pengaruh setan terhadap pikiran dan tindakan manusia.
004:123-126	pembalasan dari allah sesuai dengan perbuatan manusia bukan berdasarkan angan-angan kosong manusia.
004:127-130	keharusan memberikan hak-hak orang yang lemah dan cara-cara menyelesaikan kesulitan rumah tangga.
004:131-134	keharusan bertakwa; ketakwaan bukan untuk allah, pahalanya kembali pada manusia sendiri.
004:135-147	keharusan berlaku adil kepada siapa pun termasuk kepada diri sendiri, juga kejelekan orang munafik dan balasannya.
004:148-149	larangan melontarkan ucapan-ucapan buruk kepada seseorang, kecuali oleh orang yang teraniaya.
004:150-162	akibat kekafiran dan buah keimanan serta pembalasan terhadap pelanggaran-pelanggaran orang yahudi.
004:163-170	persamaan pokok-pokok agama yang diwahyukan kepada para rasul dan balasan bagi orang kafir.
004:171-175	pandangan al-quran terhadap isa al-masih berbeda dengan pandangan ahli kitab terhadapnya.
004:176-176	masalah pusaka kalalah (seseorang mati yang tidak meninggalkan ayah dan anak).
005:001-005	perintah untuk memenuhi abad / janji dan peraturan-peraturan serta penyempurnaan agama islam.
005:006-007	perintah wudu, mandi, tayamum, serta tujuan, sebab-sebab, dan tata cara melakukannya.
005:008-011	kewajiban berlaku adil dan jujur kepada semua orang meskipun terhadap orang yang dibenci.
005:012-019	pelanggaran janji prasetia ahli kitab (orang-orang yahudi dan nasrani) kepada allah.
005:020-026	keengganan bangsa yahudi untuk menaati nabi musa untuk memasuki palestina dan akibat-akibatnya.
005:027-032	kisah pembunuhan pertama kali oleh anak nabi adam (qabil terhadap habil) dan besarnya malapetaka akibat pembunuhan.
005:033-040	hukuman terhadap para perusuh dan pengacau keamanan yang tertangkap sebelum taubat dan sebelum mereka melapor.
005:041-050	pengingkaran yahudi terhadap hukum taurat dan keharusan memutuskan perkara berdasarkan hukum yang diturunkan allah.
005:051-063	larangan berwali atau berteman akrab dengan orang para ahli kitab dan akibatnya jika melanggar larangan itu.
005:064-066	kutukan allah terhadap orang yahudi karena kekafirannya dan balasan bagi mereka jika mereka beriman.
005:067-071	kewajiban nabi muhammad saw untuk menyampaikan wahyu yang diterima dan banyak manusia yang kafir terhadapnya.
005:072-077	pernyataan allah tentang kekafiran orang yang mengitiqadkan nabi isa as sebagai salah satu dari tuhan (trinitas).
005:078-081	kutukan allah terhadap orang-orang yahudi disebabkan kedurhakaan mereka dan sikap mereka yang selalu melampaui batas.
005:082-086	perbedaan hubungan sikap antara orang-orang yahudi dan nasrani terhadap orang-orang mukmin.
005:087-089	larangan mengharamkan makanan yang halal serta perintah menjaga sumpah dan kaffarahnya.
005:090-093	larangan meminum khamar, berjudi, berkorban untuk berhala, dan dan mengundi nasib hal itu karena itu termasuk perbuatan setan.
005:094-100	allah menjadikan kabah sebagai rumah suci untuk pusat peribadatan bagi manusia yang di dalamnya ada peraturan yang wajib ditaati.
005:101-105	larangan allah terhadap manusia untuk tidak bertanya tentang hal-hal yang menyebabkan kemudaratan.
005:106-108	anjuran berwasiat bila seseorang menghadapi mati dengan disaksikan oleh dua orang yang adil.
005:109-120	salah satu peristiwa hari kiamat dan beberapa kisah tentang nabi isa as.
006:001-011	dalil-dalil tentang keesaan dan kekuasaan allah dan sebab-sebab kekafiran kaum musyrikin serta ancaman terhadap mereka.
006:012-021	keagungan dan kekuasaan allah dan persaksiannya atas kenabian muhammad sebagai rasulnya.
006:022-032	kesaksian kaum musyrikin terhadap dirinya sendiri dan keadaan mereka pada hari kiamat.
006:033-037	ayat-ayat allah yang membesarkan hati nabi muhammad saw karena kedustaan atau keingkaran kaum musyrikin yang diserunya.
006:038-049	kesempurnaan ilmu allah, bukti-bukti kekuasaannya, serta akibat orang-orang yang mendustakan rasulnya.
006:050-073	tuntunan-tuntunan dalam menghadapi masyarakat dengan hujah yang benar berpedoman kepada syariat allah.
006:074-083	cara-cara nabi ibrahim as memimpin kaumnya kepada agama tauhid dan pejalan hidupnya mencari rabb semesta alam.
006:084-092	hamba-hamba allah yang telah diberi kitab, hikmah, dan kenabian, serta perintah untuk mengikuti petunjuk mereka.
006:093-110	kebenaran wahyu dari allah, akibat berdusta kepada allah, dan larangan memaki berhala.
006:111-129	sikap kaum musyrikin yang berkepala batu, sikap mereka terhadap kerasulan muhammad saw, dan kebenaran al-quran.
006:130-135	derajat seseorang seimbang dengan amalnya oleh karena itu hendaklah berbuat sepenuh kemampuan.
006:136-165	peraturan-peraturan yang dibuat-buat kaum musyrikin dan pimpinan allah terhadap kaum muslimin.
007:001-010	kewajiban mengikuti wahyu dari allah dan akibat orang-orang yang menentang dan mengikuti pimpinan-pimpinan selainnya.
007:011-025	penghargaan allah terhadap nabi adam as dan keturunannya, serta permusuhan dan godaan setan terhadap manusia.
007:026-030	peringatan allah kepada manusia atas godaan sea yang menyesatkan dari petunjuk allah.
007:031-033	adab berpakaian yang indah setiap memasuki masjid, dan adab makan dan minum dengan tidak berlebih-lebihan.
007:034-053	diutusnya para rasul, dan akibat atau balasan orang-orang yang menerima dan menolaknya.
007:054-056	allah adalah rabb semesta alam. adab bermohon atau berdoa kepadanya dengan merendahkan diri, rasa takut, dan harap.
007:057-058	kekuasaan allah membangkitkan manusia sesudah mati seperti halnya menghidupkan tanah tandus dengan turunnya hujan.
007:059-064	kisah rasul allah nabi nuh as.
007:065-072	kisah rasul allah nabi hud as.
007:073-079	kisah rasul allah nabi shaleh as.
007:080-084	kisah rasul allah nabi lut as.
007:085-102	kisah rasul allah nabi syuaib as.
007:103-171	kisah rasul allah nabi musa dan nabi harun as.
007:172-174	ketauhidan sesuai dengan fitrah manusia yang telah mengambil persaksian terhadap keesaan allah sebelum terlahir di dunia.
007:175-177	perumpamaan orang-orang yang mendustakan ayat-ayat allah seperti anjing yang suka mengulurkan lidahnya.
007:178-179	sifat-sifat penghuni neraka adalah orang yang tidak mau menggunakan pendengaran, penglihatan, dan hatinya.
007:180-186	datangnya azab allah kepada orang-orang yang mendustakan ayat-ayatnya dengan cara dibiarkannya mereka dalam kesesatan.
007:187-188	hanya allahlah yang mengetahui waktu datangnya hari kiamat, rasul pun tidak mengetahuinya.
007:189-193	allah mengingatkan manusia kepada asal usul kejadiannya, agar tidak berbuat syirik.
007:194-198	berhala tidak patut disembah bahkan makhluk yang lebih lemah atau serupa dengan manusia.
007:199-202	dasar-dasar akhlaqul jariah dalam islam serta perlindungan kepada allah dari godaan setan.
007:203-206	adab mendengarkan pembacaan al-quran dan adab berzikir.
008:001-001	cara pembagian ganimah (harta rampasan perang) terserah kepada allah dan rasul.
008:002-004	sifat-sifat orang mukmin dan ketinggian derajat mereka di sisi allah dan balasan untuk mereka.
008:005-014	keengganan sebagian sahabat nabi untuk ikut peperangan badar dan pertolongan allah terhadap kaum muslimin.
008:015-019	larangan melarikan diri dari pertempuran, kecuali berbelok untuk siasat, atau bergabung dengan pasukan lainnya.
008:020-026	larangan menyalahi perintah allah, kewajiban menaati perintah allah dan rasulnya, serta akibatnya.
008:027-029	larangan mengkhianati allah, rasulnya, dan amanah-amanah yang dipercayakan serta faedah bertakwa.
008:030-040	permusuhan kaum musyrikin terhadap nabi dan kewajiban memerangi mereka hingga terpeliharanya agama allah.
008:041-044	cara pembagian dan ganimah dan rahmat allah kepada kaum muslimin dalam peperangan badar.
008:045-047	kewajiban berteguh hati dan bersatu padu dalam peperangan serta larangan berlaku sombong dan riya.
008:048-051	pengkhianatan setan terhadap janjinya kepada pengikut-pengikutnya dan pencabutan nyawa oleh malaikat.
008:052-057	kebinasaan suatu kaum adalah lantaran perbuatan mereka sendiri dan buruknya orang-orang kafir.
008:058-060	sikap menghadapi pengkhianatan golongan yang ada perjanjian dan sikap siap siaga menghadapi musuh-musuh allah.
008:061-066	islam cinta perdamaian dan keharusan mengobarkan semangat serta pentingnya sabar dalam jihad kepada orang-orang mukmin.
008:067-075	larangan menawan musuh sebelum melumpuhkannya dan sikap terhadap para tawanan.
009:001-004	orang islam bebas dari tanggung jawab terhadap perjanjian kaum musyrikin yang melanggarnya.
009:005-015	pengumuman perang terhadap kaum musyrikin dan sebab-sebab dibatalkannya suatu perjanjian damai.
009:016-024	keimanan seseorang tampak dari keikutsertaannya dalam jihad. orang-orang yang layak memakmurkan masjid-masjid.
009:025-029	kemenangan umat islam dalam berbagai pertempuran tidak terlepas dari pertolongan allah bukan karena besarnya jumlah.
009:030-035	kepercayaan orang-orang yahudi dan nasrani serta sikap-sikap mereka terhadap agama allah.
009:036-037	bulan di sisi allah ada 12 dan ada 4 bulan haram untuk berperang, tetapi berlaku pula hukum qisas.
009:038-043	perintah untuk berjihad melawan musuh allah dan akibat bagi orang yang tidak ikut berangkat perang.
009:044-052	hanya orang-orang yang munafiklah yang enggan / tidak mau berperang dengan mencari-cari alasan.
009:053-057	amal ibadah orang munafik tidak akan diterima allah, harta dan anaknya juga akan menjadi beban siksaan baginya.
009:058-061	sikap orang munafik terhadap pembagian sedekah serta ketentuan-ketentuan pembagian zakat.
009:062-066	tuduhan dan ejekan orang-orang munafik terhadap rasulullah dan balasan bagi mereka yang menentang rasulullah.
009:067-070	hasutan-hasutan orang munafik kepada para pengikut nabi dan ancaman allah terhadap mereka.
009:071-072	anjuran kepada orang-orang mukmin untuk tolong-menolong dalam amar maruf nahi mungkar dan janji allah kepada mereka.
009:073-074	perintah kepada nabi dan orang-orang mukmin untuk berjihad dan bersikap keras kepada orang-orang kafir dan munafik.
009:075-080	ikrar orang munafik tidak dapat dipercaya dan kemunafikan adalah dosa yang tidak diampuni olah allah.
009:081-085	keadaan orang-orang munafik yang mau ikut berjihad dan larangan menyalatkan jenazah orang munafik.
009:086-090	keengganan orang munafik untuk berjihad dengan berbagai alasan dan pahala orang yang berjihad.
009:091-102	uzur-uzur yang dibenarkan syara untuk tidak ikut berjihad atau berperang di jalan allah.
009:103-106	keharusan penguasa untuk memungut zakat dan mendoakan orang-orang yang membayar zakat.
009:107-110	keharusan waspada terhadap tipu muslihat orang-orang yang mempergunakan masjid sebagai alat untuk memecah belah umat.
009:111-115	penghargaan allah terhadap para syuhada dan larangan memintakan ampun bagi orang musyrik.
009:116-123	perintah bertakwa dan memperdalam pengetahuan tentang din / agama untuk memberi peringatan kepada kaumnya.
009:124-129	perintah untuk memerangi orang-orang kafir dan ujian bagi orang-orang munafik agar segera bertaubat dan mengambil pelajaran.
010:001-006	wahyu allah diberikan kepada para nabi dari kaum laki-laki dan dasar-dasar kebenaran isinya.
010:007-018	pembalasan terhadap orang-orang yang mengingkari dan orang-orang yang menerima kebenaran wahyu.
010:019-020	dulunya manusia adalah suatu umat yang memeluk agama yang satu, kemudian berselisih dan akhirnya berpecah belah.
010:021-023	perlakuan allah penuh rahmat, tetapi manusia mau mengingat allah ketika tertimpa musibah.
010:024-030	perumpamaan kehidupan duniawi dan seruan allah ke surga darussalam, serta balasan bagi manusia sesuai dengan amalnya.
010:031-036	bukti-bukti kekuasaan allah dan bantahan-bantahan yang membatalkan kepercayaan orang musyrik.
010:037-046	jaminan allah tentang kemurnian al-quran sebagai firmannya dan tantangan allah kepada orang-orang yang mendustakannya.
010:047-060	diutusnya rasul untuk tiap-tiap umat dan kedustaan umat kepada para rasul itu serta penyesalan mereka di akhirat kelak.
010:061-061	segala perbuatan manusia tidak ada yang terlepas dari pengawasan allah.
010:062-070	wali-wali allah adalah orang-orang beriman dan mereka selalu bertakwa, dan kabar gembira bagi mereka.
010:071-074	kisah rasul allah nabi nuh as.
010:075-093	kisah rasul allah nabi musa dan nabi harun as.
010:094-103	kisah rasul allah nabi yunus as untuk dijadikan tamsil dan pelajaran bagi manusia yang meragukan kerasulan muhammad saw.
010:104-109	dakwah islam kepada manusia yang masih meragukan kebenaran islam, al-quran, dan diutusnya nabi muhammad saw.
011:001-005	al-quran adalah kitab suci yang ayat-ayatnya tersusun rapi dan perintah agar manusia menyembah allah.
011:006-011	tujuan diciptakannya alam semesta dan perbedaan sifat-sifat orang kafir dengan sifat-sifat orang mukmin.
011:012-024	kebenaran al-quran sebagai wahyu yang diterima nabi dan tantangan terhadap orang yang masih mendustakan dan meragukannya.
011:025-049	kisah nabi nuh as dan seruannya kepada anak dan kaumnya.
011:050-060	kisah nabi hud as dan kaum ad.
011:061-068	kisah nabi shaleh dan kaum tsamud.
011:069-076	kisah nabi ibrahim as dan istrinya yang kedatangan malaikat sebagai tamunya.
011:077-083	kisah nabi lut dan tamunya, malaikat untuk memberikan kedatangan azab allah.
011:084-095	kisah nabi syuaib as dan seruannya kepada penduduk madyan.
011:096-099	kisah nabi musa as yang diutus kepada firaun dan pemimpin-pemimpin kaumnya.
011:100-104	pelajaran dari kisah-kisah beberapa nabi untuk umat akhir zaman.
011:105-109	balasan orang-orang yang celaka dan balasan orang-orang yang bahagia.
011:110-116	perintah allah agar manusia beristiqamah pada jalan yang benar.
011:117-123	rahmat allah terhadap suatu negeri yang penduduknya tidak berbuat zalim; dan perintah untuk bertawakal kepadanya.
012:001-003	al-quran adalah kitab suci berbahasa arab yang menceritakan krisan nabi yusuf.
012:004-006	yusuf bercerita kepada ayahnya tentang mimpinya melihat sebelas bintang, matahari, dan bulan sujud padanya.
012:007-009	keirian sifat saudara-saudara yusuf kepadanya dan kepada saudara kandungnya atas perlakuan ayah mereka.
012:010-018	tipu daya saudara-saudara yusuf terhadap ayah mereka agar yusuf terpisah dari keluarga, dengan memasukkannya ke dalam sumur.
012:019-020	yusuf ditemukan oleh seorang musafir yang mengambil air di sumur itu dan menjualnya dengan harga yang murah.
012:021-022	yusuf dibeli dan diambil anak angkat oleh raja mesir dan istrinya (qithfir dan zulaikha) dan dipelihara dengan baik.
012:023-029	setelah yusuf dewasa, zulaikha berusaha menggodanya untuk ditundukkan kepada dirinya, tetap hal itu diketahui oleh suaminya.
012:030-032	zulaikah mengundang wanita di kotanya yang mencela perbuatannya, untuk menyaksikan seperti apa yusuf.
012:033-035	yusuf berdoa kepada allah bahwa penjara lebih baik baginya dari pada melayani perbuatan yang hina.
012:036-042	bersama yusuf ada dua orang pemuda yang dimasukkan dalam penjara dan dakwah yusuf kepada mereka.
012:043-049	yusuf menakwilkan mimpi raja dan dianggapnya sebagai penakwil mimpi yang benar.
012:050-057	yusuf dibebaskan dari penjara dan dijadikan sebagai bendaharawan negeri mesir yang akan mengalami masa-masa krisis.
012:058-082	yusuf as mengatur cara agar dapat bertemu dengan bunyamin, dengan tidak diketahui oleh saudara-saudaranya yang lain.
012:083-093	saudara-saudara yusuf mengadukan permasalahannya kepada ayahnya dan tahulah mereka bahwa yusuf dimuliakan oleh allah.
012:094-100	yaqub mencium bau yusuf dan dipertemukanlah yusuf dengan ibu bapaknya yang telah lanjut usia.
012:101-111	doa yusuf as dan pelajaran yang dapat diambil dari kisah nabi yusuf as.
013:001-010	bukti-bukti kekuasaan allah pada penciptaan alam semesta dan kesempurnaan ilmunya terhadap ciptaannya.
013:011-011	kebangkitan dan keruntuhan suatu kaum atau bangsa tergantung kepada sikap dan tindakan mereka sendiri.
013:012-017	tanda-tanda keesaan allah dan sujud patuh segala yang ada di langit dan di bumi.
013:018-024	beberapa sifat dan perbuatan mulia dalam islam serta balasan bagi orang yang mengamalkannya.
013:025-027	beberapa sifat dan perbuatan orang-orang yang ingkar kepada allah dan mendustakan nabi muhammad saw.
013:028-029	ketenteraman hati orang-orang yang beriman jika mengingat allah serta balasan bagi mereka.
013:030-031	allah mengutus muhammad saw kepada umatnya sebagaimana dia telah mengutus rasul-rasul sebelumnya kepada umat-umat mereka.
013:032-035	penentang-penentang rasul pasti akan hancur; serta balasan orang-orang yang bertakwa dan orang-orang yang kafir.
013:036-037	orang mukmin akan menerima al-quran secara keseluruhan berbeda halnya dengan sikap ahli kitab.
013:038-043	tiap-tiap masa ada rasul dan kitab suci yang sesuai dengan keadaan masanya; allah mengganti rasul dan menghapus ketetapan dalam kitab suci sesuai dengan kehendaknya.
014:001-003	al-quran adalah kitab suci yang menunjuki semua umat manusia kepada jalan yang terang.
014:004-006	nabi musa as dan rasul-rasul sebelum nabi muhammad saw adalah pemimpin bagi kaum mereka masing-masing.
014:007-008	kewajiban bersyukur atas nikmat allah serta akibat orang yang bersyukur dan yang mengingkarinya.
014:009-012	tiap-tiap kebenaran yang dibawa oleh para rasul pada mulanya ditolak; dan kesabaran para rasul menghadapi kaumnya.
014:013-021	akibat di dunia dan di akhirat yang diterima oleh kaum yang menolak kebenaran yang dibawa oleh para rasul.
014:022-023	balasan bagi orang-orang yang mengikuti langkah setan dan imbalan bagi orang-orang yang beriman dan bermal saleh.
014:024-027	perumpamaan kalimat yang baik (kebenaran) dan kalimat yang buruk (kebatilan) seperti pohon dan akar, batang serta buahnya.
